384.25,0.005943840758,2,379.5,389.0
394.25,0.007801876481,3,388.5,400.0
406.25,0.009635625299,4,399.5,413.0
419.25,0.011493442472,5,412.5,426.0
433.75,0.01537674071,6,425.5,442.0
450.75,0.017240156746,7,441.5,460.0
471.75,0.019098510361,8,459.5,484.0
496.25,0.021013790385,9,483.5,509.0
523.25,0.022872108237,10,508.5,538.0
554.75,0.024782993412,11,537.5,572.0
590.75,0.028677692032,12,571.5,610.0
632.75,0.030540857728,13,609.5,656.0
685.25,0.032404909547,14,655.5,715.0
750.25,0.034263775762,15,714.5,786.0
833.0,0.038136690871,16,785.5,880.5
384.25,0.045940059439,18,379.5,389.0
394.25,0.047804290072,19,388.5,400.0
406.25,0.049671008205,20,399.5,413.0
419.25,0.051529806868,21,412.5,426.0
433.75,0.055424577014,22,425.5,442.0
450.75,0.057288076496,23,441.5,460.0
471.75,0.059147057947,24,459.5,484.0
496.25,0.061062508837,25,483.5,509.0
523.25,0.062920524693,26,508.5,538.0
554.75,0.064830925083,27,537.5,572.0
590.75,0.068724574661,28,571.5,610.0
632.75,0.070588924503,29,609.5,656.0
685.25,0.072452658431,30,655.5,715.0
750.25,0.074310606734,31,714.5,786.0
833.0,0.078184940434,32,785.5,880.5
384.25,0.085988773918,34,379.5,389.0
394.25,0.087848124917,35,388.5,400.0
406.25,0.089763790385,36,399.5,413.0
419.25,0.091621575769,37,412.5,426.0
433.75,0.095507007853,38,425.5,442.0
450.75,0.097370527204,39,441.5,460.0
471.75,0.099229325867,40,459.5,484.0
496.25,0.101145408567,41,483.5,509.0
523.25,0.103003742313,42,508.5,538.0
554.75,0.104913808918,43,537.5,572.0
590.75,0.108822125212,44,571.5,610.0
632.75,0.110686391608,45,609.5,656.0
685.25,0.112550590452,46,655.5,715.0
750.25,0.114408558623,47,714.5,786.0
833.0,0.118283559895,48,785.5,880.5
384.25,0.127590876834,50,379.5,389.0
394.25,0.12945429287,51,388.5,400.0
406.25,0.131312710063,52,399.5,413.0
419.25,0.133223726368,53,412.5,426.0
433.75,0.137105458991,54,425.5,442.0
450.75,0.138968958473,55,441.5,460.0
471.75,0.140833558655,56,459.5,484.0
496.25,0.142697642263,57,483.5,509.0
523.25,0.144555840906,58,508.5,538.0
554.75,0.146481758372,59,537.5,572.0
590.75,0.150371541595,60,571.5,610.0
632.75,0.152235207971,61,609.5,656.0
685.25,0.154093557612,62,655.5,715.0
750.25,0.156003373877,63,714.5,786.0
833.0,0.159881756719,64,785.5,880.5
384.25,0.167702108637,66,379.5,389.0
394.25,0.169560656961,67,388.5,400.0
406.25,0.171477673467,68,399.5,413.0
419.25,0.173335625744,69,412.5,426.0
433.75,0.177222142633,70,425.5,442.0
450.75,0.179085542774,71,441.5,460.0
471.75,0.180944007651,72,459.5,484.0
496.25,0.182859343306,73,483.5,509.0
523.25,0.184717975076,74,508.5,538.0
554.75,0.186627775447,75,537.5,572.0
590.75,0.190518873946,76,571.5,610.0
632.75,0.19238256019,77,609.5,656.0
685.25,0.194246623929,78,655.5,715.0
750.25,0.196104774888,79,714.5,786.0
833.0,0.199979990737,80,785.5,880.5
384.25,0.20928672355,82,379.5,389.0
394.25,0.211150827026,83,388.5,400.0
406.25,0.213009474691,84,399.5,413.0
419.25,0.214918909486,85,412.5,426.0
433.75,0.218802326934,86,425.5,442.0
450.75,0.220666275438,87,441.5,460.0
471.75,0.222530323283,88,459.5,484.0
496.25,0.224398710346,89,483.5,509.0
523.25,0.2262568772,90,508.5,538.0
554.75,0.228166923936,91,537.5,572.0
590.75,0.232050508277,92,571.5,610.0
632.75,0.233914726988,93,609.5,656.0
685.25,0.235779025173,94,655.5,715.0
750.25,0.237637124475,95,714.5,786.0
833.0,0.241511740303,96,785.5,880.5
384.25,0.249315406895,98,379.5,389.0
394.25,0.251179824289,99,388.5,400.0
406.25,0.253037740803,100,399.5,413.0
419.25,0.254949826018,101,412.5,426.0
433.75,0.258849241352,102,425.5,442.0
450.75,0.260712792492,103,441.5,460.0
471.75,0.262581874943,104,459.5,484.0
496.25,0.264446057892,105,483.5,509.0
523.25,0.2663039903,106,508.5,538.0
554.75,0.26821574173,107,537.5,572.0
590.75,0.272099624093,108,571.5,610.0
632.75,0.273963175233,109,609.5,656.0
685.25,0.275821357981,110,655.5,715.0
750.25,0.277731392797,111,714.5,786.0
833.0,0.281610673682,112,785.5,880.5
384.25,0.290932657337,114,379.5,389.0
394.25,0.292797174072,115,388.5,400.0
406.25,0.29466112655,116,399.5,413.0
419.25,0.29651902717,117,412.5,426.0
433.75,0.300414325809,118,425.5,442.0
450.75,0.302277710056,119,441.5,460.0
471.75,0.304136190828,120,459.5,484.0
496.25,0.306051391379,121,483.5,509.0
523.25,0.307909673468,122,508.5,538.0
554.75,0.309820073859,123,537.5,572.0
590.75,0.313698210335,124,571.5,610.0
632.75,0.315561642265,125,609.5,656.0
685.25,0.317426826572,126,655.5,715.0
750.25,0.319285076873,127,714.5,786.0
833.0,0.323157991982,128,785.5,880.5
384.25,0.330961757914,130,379.5,389.0
394.25,0.332826326307,131,388.5,400.0
406.25,0.334689392662,132,399.5,413.0
419.25,0.336547607199,133,412.5,426.0
433.75,0.340430492179,134,425.5,442.0
450.75,0.342294476446,135,441.5,460.0
471.75,0.34415274264,136,459.5,484.0
496.25,0.346068908787,137,483.5,509.0
523.25,0.347927341874,138,508.5,538.0
554.75,0.349837789949,139,537.5,572.0
590.75,0.353730525589,140,571.5,610.0
632.75,0.355593591944,141,609.5,656.0
685.25,0.357451643562,142,655.5,715.0
750.25,0.359363140678,143,714.5,786.0
833.0,0.363239826775,144,785.5,880.5
384.25,0.37104400994,146,379.5,389.0
394.25,0.372908057785,147,388.5,400.0
406.25,0.374766308085,148,399.5,413.0
